"ID1","TrainClase1","TrainClase2","TrainClase3","TrainGlobal","TestClase1","TestClase2","TestClase3","TestGlobal","Modelo","Nombre"
"Repeat01",89.0464,90.4396,67.1658,86.0598,88.0076,88.9068,66.827,84.8724,"M1","MLR.1"
"Repeat02",89.0466,89.8664,67.6234,85.8288,88.6844,89.6738,64.474,85.0828,"M1","MLR.1"
"Repeat03",89.2244,90.2012,67.0152,85.9572,87.6628,89.1082,66.7914,84.88,"M1","MLR.1"
"Repeat04",89.3092,90.152,67.9186,86.1104,87.6378,89.469,65.6326,84.865,"M1","MLR.1"
"Repeat05",88.693,90.2006,66.7214,85.7516,88.7094,90.434,65.704,85.7064,"M1","MLR.1"
"Repeat06",88.8702,90.4882,67.0162,86.0086,89.0726,89.3022,65.5796,85.1932,"M1","MLR.1"
"Repeat07",88.8692,90.201,68.2182,86.06,88.0012,89.868,67.4156,85.4934,"M1","MLR.1"
"Repeat08",89.1348,90.4398,66.5674,85.9824,87.9952,88.3426,66.2388,84.4748,"M1","MLR.1"
"Repeat09",89.1338,90.296,67.317,86.0338,87.6504,89.4762,66.8806,85.0796,"M1","MLR.1"
"Repeat10",89.3112,90.6786,67.1726,86.2652,88.6966,88.7162,66.3634,84.878,"M1","MLR.1"
"Repeat11",89.3092,90.3442,67.0162,86.059,88.6652,89.2986,65.5972,85.0768,"M1","MLR.1"
"Repeat12",89.0452,90.0576,67.1702,85.8544,88.6904,88.7142,67.5046,85.0874,"M1","MLR.1"
"Repeat13",89.3098,90.153,67.4688,86.034,88.659,89.106,65.6504,84.977,"M1","MLR.1"
"Repeat14",89.3102,90.248,67.469,86.085,89.3798,89.478,66.3102,85.4902,"M1","MLR.1"
"Repeat15",89.3986,90.3436,67.9164,86.2392,87.995,89.6684,66.2034,85.1802,"M1","MLR.1"
"Repeat16",89.1364,90.5352,67.0176,86.1114,89.417,88.522,65.6328,84.8744,"M1","MLR.1"
"Repeat17",89.489,90.631,67.1646,86.2908,87.9888,89.291,66.221,84.9748,"M1","MLR.1"
"Repeat18",88.8692,90.4396,67.1692,86.0076,89.0414,89.2912,65.6684,85.1816,"M1","MLR.1"
"Repeat19",89.3994,90.3918,67.3172,86.1622,87.9888,89.295,64.4028,84.6704,"M1","MLR.1"
"Repeat20",89.1342,90.3442,67.1724,86.0338,88.3208,89.101,64.492,84.6694,"M1","MLR.1"
"Repeat01",89.0464,90.4396,67.0142,86.034,88.0076,88.9068,66.827,84.8724,"M1","MLR.2"
"Repeat02",89.0466,89.8664,67.6234,85.8288,88.6844,89.6738,64.474,85.0828,"M1","MLR.2"
"Repeat03",89.2244,90.2012,67.0152,85.9572,87.6628,89.1082,66.7914,84.88,"M1","MLR.2"
"Repeat04",89.3092,90.152,67.9186,86.1104,87.6378,89.469,65.6326,84.865,"M1","MLR.2"
"Repeat05",88.693,90.2006,66.7214,85.7516,88.7094,90.434,65.704,85.7064,"M1","MLR.2"
"Repeat06",88.8702,90.4882,67.0162,86.0086,89.0726,89.3022,65.5796,85.1932,"M1","MLR.2"
"Repeat07",88.8692,90.201,68.2182,86.06,88.0012,89.868,67.4156,85.4934,"M1","MLR.2"
"Repeat08",89.1348,90.4398,66.5674,85.9824,87.9952,88.3426,66.2388,84.4748,"M1","MLR.2"
"Repeat09",89.1338,90.296,67.317,86.0338,87.6504,89.4762,66.8806,85.0796,"M1","MLR.2"
"Repeat10",89.3112,90.6786,67.1726,86.2652,88.6966,88.7162,66.3634,84.878,"M1","MLR.2"
"Repeat11",89.3092,90.3442,67.0162,86.059,88.6652,89.2986,65.5972,85.0768,"M1","MLR.2"
"Repeat12",89.0452,90.0576,67.1702,85.8544,88.6904,88.7142,67.5046,85.0874,"M1","MLR.2"
"Repeat13",89.3098,90.153,67.4688,86.034,88.659,89.106,65.6504,84.977,"M1","MLR.2"
"Repeat14",89.3102,90.248,67.469,86.085,89.3798,89.478,66.3102,85.4902,"M1","MLR.2"
"Repeat15",89.3986,90.3436,67.9164,86.2392,87.995,89.6684,66.2034,85.1802,"M1","MLR.2"
"Repeat16",89.1364,90.5352,67.0176,86.1114,89.417,88.522,65.6328,84.8744,"M1","MLR.2"
"Repeat17",89.489,90.6788,67.1646,86.3164,87.9888,89.4816,66.221,85.077,"M1","MLR.2"
"Repeat18",88.8692,90.4396,67.1692,86.0076,89.0414,89.2912,65.6684,85.1816,"M1","MLR.2"
"Repeat19",89.3994,90.3918,67.3172,86.1622,87.9888,89.295,64.4028,84.6704,"M1","MLR.2"
"Repeat20",89.1342,90.3442,67.1724,86.0338,88.3208,89.101,64.492,84.6694,"M1","MLR.2"
